????,????,????????,????????(????),??????????%??,??????????,??????????,????????????,????????????,????????????,????????????,????????????,basic_eps
688630.SH,????????,4/1/2021,"108,287.86",0.2,0.382179882,0.254563895,0.1,0.151923077,0.151270208,0.310506567,0.427867151,0.41
688662.SH,????????,4/1/2021,"71,997.54",0.23,-0.082303286,-0.188741722,-0.245662734,-0.256123163,-0.357277883,0.10896004,0.022331155,0.4601
603906.SH,????????,4/2/2021,"4,315.01",0,-0.040438657,0.027546445,0.015883306,0.115126785,0.024734982,-0.09444845,0.109677419,0.3
600853.SH,????????,4/2/2021,"44,215.14",0.17,-0.011494253,-0.015384615,0.014925373,-0.007633588,-0.035294118,-0.023255814,-0.086419753,0.0358
002712.SZ,????????,4/2/2021,"1,283.93",0,0.034274194,0.026422764,0.066276803,0.006224066,0.032323232,0.114602588,-0.043572985,0.06
002825.SZ,????????,4/2/2021,"1,019.33",0,-0.008637874,-0.016064257,-0.00729927,0.027546445,-0.067510549,-0.084285714,-0.08583691,0.26
603131.SH,????????,4/6/2021,"4,983.31",0.01,0.06974507,0.069297401,0.073754789,0.035892323,-0.035331906,-0.072062084,-0.119861031,0.16
600559.SH,????????,4/6/2021,"44,377.07",0.02,-0.077383924,0.054752519,0.150059078,0.100458524,-0.013621419,0.270453009,0.157360406,0.14
002931.SZ,????????,4/6/2021,"135,606.29",0.59,0.022451456,0.056239016,0.034172662,0.028347407,-0.018975332,0.229186603,-0.233537519,0.25
003042.SZ,????????,4/6/2021,"85,077.00",0.25,0.317132175,0.175955414,0.214123007,0.140603377,0.091308165,0.024505184,-0.147450111,0.23
003041.SZ,????????,4/6/2021,"64,800.00",0.25,0.316996047,0.31392271,0.299648744,0.1641406,0.126095752,0.168431184,0.04,0.4256
000603.SZ,????????,4/6/2021,"23,248.63",0.02,-0.019838354,-0.006526468,0.019081272,0.006442377,0.038115038,0.005017921,-0.080996885,0.1647
688260.SH,????????,4/6/2021,"77,875.88",0.23,-0.394428152,-0.463076923,-0.465331279,-0.492154812,-0.717639976,-0.274229567,-0.374277457,-0.0008
300826.SZ,????????,4/6/2021,"45,639.38",0.2,-0.023051592,-0.009022014,-0.022303473,0.04312115,0.047359455,-0.387593052,-0.365234375,0.34
603626.SH,????????,4/7/2021,"2,792.08",0.01,0.068230277,0.03956044,0.076109937,0.060215054,0.023463687,-0.054282268,0.092419522,0.6899
603324.SH,????????,4/7/2021,"88,653.82",0.25,0.317020769,0.372862779,0.359955257,0.213146315,0.170002901,0.141356543,0.331854274,0.48
688191.SH,????????,4/8/2021,"85,757.90",0.23,-0.356631811,-0.38795045,-0.32455669,-0.295323174,-0.501218027,-0.437317784,-0.16,0.19
688636.SH,??????,4/8/2021,"109,874.79",0.2,-0.433426258,-0.446871231,-0.27485242,-0.45017459,-0.451149039,-0.038668719,0.099716525,1.1
300963.SZ,????????,4/9/2021,"142,580.88",0.24,-0.423175234,-0.419546742,-0.620633894,-0.601982097,-0.251811142,-0.56105919,-0.566916823,0.23
688468.SH,????????,4/9/2021,"82,648.85",0.08,-0.368074602,0.050266565,-0.069468268,0.037065637,-0.106477374,0.07458256,-0.217773438,0.19
300962.SZ,????????,4/9/2021,"217,211.98",0.24,0.008571429,-0.051196607,-0.31091802,-0.270596851,-0.322408537,-0.371541502,-0.494401378,0.2286
600050.SH,????????,4/9/2021,"91,500.85",0.01,-0.012077295,0.009456265,,0.016431925,0.027842227,0.021028037,,0.131
300966.SZ,????????,4/9/2021,"156,739.65",0.24,-0.538606911,-0.581737441,-0.700178998,-0.051476015,0.015376641,-0.03392598,-0.238105583,0.43
603609.SH,????????,4/9/2021,"5,123.98",0,-0.033476395,-0.023809524,-0.032590051,-0.077887198,-0.107635695,-0.128397376,-0.167798254,0.27
688096.SH,????????,4/9/2021,"78,107.11",0.45,-0.008816121,0.030266344,0.012939002,-0.035552683,-0.093515358,-0.039584685,-0.043648208,0.19
688085.SH,????????,4/9/2021,"109,571.08",0.19,-0.036357091,0.035833891,0.133614204,0.134915865,0.081951531,0.17836758,0.26537382,0.34
002979.SZ,????????,4/9/2021,"248,243.18",0.29,-0.023476523,0.031892275,0.054453161,0.089535659,0.028449502,-0.349802372,-0.226211849,0.44
300827.SZ,????????,4/12/2021,"57,997.13",0.16,0.010315414,0.050256996,0.048627002,0.035942029,0.020612485,0.138639503,0.060451977,0.18
600189.SH,??????,4/12/2021,"13,254.05",0.02,0.019624573,0.07038835,0.01710864,-0.019520852,-0.04076087,0.065853659,-0.002617801,0.09
600789.SH,????????,4/12/2021,"20,771.89",0.03,0.012032086,0.023778071,0.048906049,0.070440252,0.04025974,,-0.017906336,0.08
600821.SH,????????,4/12/2021,"59,193.34",0.1,-0.079726651,-0.012820513,-0.004237288,0.030674847,0.026694045,0.228013029,0.164021164,0.17
600889.SH,????????,4/12/2021,"13,160.38",0.08,0.03526971,0.006410256,0.088235294,0.174067496,0.265402844,0.30075188,0.360385144,0.32
300620.SZ,????????,4/12/2021,572,0,0.128065395,0.05982906,0.061333333,0.07001321,0.102727504,0.171569781,0.375554373,0.535
603301.SH,????????,4/12/2021,"644,662.73",0.53,0.002961866,0.031120705,0.020371044,-0.019110691,-0.086982846,-0.15554602,-0.266698024,1.66
603897.SH,????????,4/12/2021,"209,481.93",0.69,-0.007683215,-0.005306604,-0.033333333,0.057490326,0.064215148,0.234739677,0.372700515,1.18
605378.SH,????????,4/12/2021,"84,583.58",0.25,0.317092867,0.401650943,0.282116582,0.329545455,0.252724595,0.388527356,0.453232759,0.35
002895.SZ,????????,4/12/2021,"81,202.03",0.16,0.007820137,-0.002964427,-0.032553408,-0.025252525,-0.001974334,0.216820988,0.545454545,0.2163
688611.SH,????????,4/12/2021,"71,443.63",0.23,-0.234649123,-0.250555309,-0.283337132,-0.464239272,-0.451030928,-0.239815019,-0.125324805,0.37
002493.SZ,????????,4/12/2021,"1,210,103.33",0.07,0.042166485,0.039022611,0.100682594,0.069890575,-0.002663623,-0.498010233,-0.542740047,0.65
688683.SH,????????,4/12/2021,"53,338.24",0.2,-0.12627551,-0.137153896,-0.186827957,-0.255152807,-0.176548967,-0.073556231,-0.033352838,0.25
000528.SZ,????,4/13/2021,"3,912.11",0,0.093896714,0.05019685,-0.015789474,-0.007306889,-0.100342075,-0.137971698,-0.209273183,0.52
000952.SZ,????????,4/13/2021,"5,830.07",0.02,0.024128686,0.013550136,0.008174387,0.028037383,0.033200531,0.053315995,0.06185567,0.1736
002526.SZ,????????,4/13/2021,"1,213.48",0,0.045248869,0.004716981,-0.019323671,-0.029268293,-0.019323671,-0.004761905,-0.034313725,0.0377
300967.SZ,????????,4/13/2021,"137,962.25",0.24,-0.466824645,-0.559193955,-0.601966874,-0.708057395,-0.637566138,-0.725195095,-0.912855377,0.33
000948.SZ,????????,4/13/2021,"17,068.96",0.04,-0.02605042,-0.162857143,-0.216135458,-0.204142012,0.096893491,0.067938931,-0.011599006,0.0274
688315.SH,????????,4/13/2021,"89,016.55",0.08,0.080536913,0.046956522,0.377272727,0.365005794,0.278947368,0.494278331,0.333819596,0.22
000567.SZ,????????,4/13/2021,"414,304.75",0.66,0.023856859,-0.052518757,-0.08388521,-0.052518757,-0.028272251,0.032512315,0.139351446,0.1873
688663.SH,??????,4/13/2021,"67,077.84",0.22,0.009790832,-0.092292587,-0.159458051,-0.104766634,-0.103670635,-0.0982231,0.077911314,0.29
002373.SZ,????????,4/14/2021,"125,967.85",0.05,0.032914423,0.012224939,-0.079492318,-0.079492318,-0.060367454,0.07498569,0.008588957,0.32
300254.SZ,????????,4/14/2021,"11,817.42",0.09,0.025931929,0.025931929,0.185636856,0.185636856,0.146306818,0.106983655,0.126453488,-0.0181
300999.SZ,??????,4/15/2021,"164,512.69",0,0.047468354,0.084642676,0.080682107,0.080682107,0.085222236,0.212814645,0.102385686,0.55
603228.SH,????????,4/15/2021,"3,358.48",0,0.052650177,0.037342908,0.043524795,0.043524795,-0.052197802,-0.066428003,0.075517241,0.55
300973.SZ,????????,4/15/2021,"372,174.26",0.21,0.141666667,0.200930954,0.299319728,0.299319728,0.346031746,0.361675756,0.297312048,0.969
300971.SZ,????????,4/15/2021,"90,137.15",0.24,-0.217976319,-0.227556279,-0.287990894,-0.287990894,-0.223573939,-0.18699187,-0.290929835,0.71
300968.SZ,????????,4/15/2021,"190,521.48",0.21,-0.117315574,-0.131811105,-0.245573958,-0.245573958,-0.217755444,-0.313855422,-0.374291115,0.12
603095.SH,????????,4/15/2021,"10,352.96",0.03,-0.002983802,-0.041150442,-0.04068996,-0.04068996,-0.032017544,0.024865313,-0.009005146,0.83
600629.SH,????????,4/15/2021,"3,519.78",0.01,0.008356546,-0.002816901,0.013850416,0.013850416,0.033921303,0.020632737,-0.190635452,0.3745
002236.SZ,????????,4/15/2021,"70,370.76",0.01,0.061248528,0.002919099,-0.019181586,-0.019181586,-0.032829374,-0.125706215,-0.164637116,0.56
688330.SH,??????,4/15/2021,"7,634.99",0.01,0.010793824,0.005357879,-0.012445812,-0.012445812,0.008898015,0.019634394,0.052107882,2.1
601279.SH,????????,4/15/2021,"44,528.74",0.1,0.318077803,0.436672968,0.649823737,0.649823737,0.781844802,0.737444934,0.685654008,0.03
002821.SZ,??????,4/16/2021,"291,467.96",0.04,0.04479952,0.030242482,0.129370629,0.117511095,0.181272337,0.284572142,0.220179739,1.78
688222.SH,????????,4/16/2021,"676,295.50",0.6,-0.122645291,-0.08776699,-0.143265306,-0.197520308,-0.149835796,-0.011191336,0.093527508,0.05
300898.SZ,????????,4/16/2021,"5,618.34",0.01,0.138556884,0.018163471,-0.046236559,-0.040363539,0.000770218,-0.043991416,-0.06630137,0.293
300548.SZ,????????,4/16/2021,"1,251.55",0,0.018889202,0.023294976,-0.076399629,-0.131339402,-0.132443866,-0.000575043,0.086614173,0.46
688386.SH,????????,4/16/2021,"2,570.13",0.01,0.037558685,0.086452763,0.086859688,0.10616961,0.191640379,0.317008163,0.353414288,0.49
300690.SZ,????????,4/16/2021,"1,747.27",0,-0.001687154,-0.607115236,-0.822807018,-0.814847162,-0.822007891,-0.936626281,-0.676482453,0.64
605086.SH,????????,4/16/2021,"59,264.00",0.25,0.317109145,0.435537946,0.311268129,0.301132075,0.32111437,0.269428008,0.288239816,0.43
002978.SZ,????????,4/19/2021,"259,107.20",0.14,-0.022761434,0.021167283,0.013054289,0.094486692,0.074786325,0.211423841,0.089292543,1.9021
300972.SZ,????????,4/19/2021,"99,368.11",0.24,-0.193181818,-0.418918919,-0.464592275,-0.414507772,-0.436842105,-0.580775912,-0.683107275,-0.08
603583.SH,????????,4/19/2021,"153,603.32",0.09,-0.01312295,-0.060680406,-0.059294348,-0.108547009,0.00169335,-0.492520138,-0.29080414,0.44
603773.SH,????????,4/19/2021,"79,181.74",0.32,0.012830189,0.027509294,0.018018018,-0.004994237,-0.072131148,0.01728024,-0.000382409,0.0263
600738.SH,????????,4/19/2021,"19,525.97",0.04,0.021069692,0.039745628,0.062111801,0.111764706,0.190348525,0.17373461,-0.006666667,0.093
600876.SH,????????,4/19/2021,"4,096.33",0,-0.005938242,0.001767826,-0.01864101,0.015116279,0.041855204,-0.034819792,0.385786802,0.3611
000895.SZ,????????,4/19/2021,"567,850.46",0.04,0.027390438,-0.058823529,-0.066048035,-0.091366303,-0.028165307,-0.247126437,-0.307228916,0.7323
688533.SH,????????,4/19/2021,"104,776.30",0.2,-0.483633011,-0.684816754,-0.702645503,-0.573594132,-0.65025641,-0.587567834,-0.496744186,0.23
603876.SH,????????,4/19/2021,"240,830.38",0.45,0.054919908,0.012749004,0.008006405,0.029757244,0.049117421,0.459424084,0.552546046,0.6
000661.SZ,????????,4/20/2021,"947,543.34",0.05,0.021670103,0.046442926,0.007571479,-0.013867521,0.062476537,-0.198509725,-0.151954358,4.75
002886.SZ,????????,4/20/2021,"36,088.80",0.11,-0.003614458,-0.047359598,-0.087467363,-0.094612352,-0.851111111,-0.769830028,-0.592734226,0.18
603353.SH,????????,4/20/2021,"59,896.80",0.11,0.062084257,0.076419214,0.078632106,0.099425165,0.068076669,-0.460635359,-0.466204506,0.35
601727.SH,????????,4/20/2021,"471,441.97",0.06,-0.036679537,-0.050880626,-0.048828125,-0.074,-0.055009823,-0.278571429,-0.345864662,-0.32
605117.SH,????????,4/20/2021,"201,174.91",0.25,0.181991672,0.012565445,0.021378165,0.096743295,0.305596465,0.539595743,0.624840866,1.44
688126.SH,????????-U,4/20/2021,"1,459,354.75",0.25,0.018457752,0.027235772,0.001668753,-0.098714417,-0.087233076,0.197518444,0.113046701,0.042
688682.SH,??????,4/20/2021,"77,809.67",0.2,-0.175448558,-0.327051282,-0.355197696,-0.281064356,-0.274910703,-0.183647799,0.353829827,0.31
605098.SH,????????,4/21/2021,"83,769.48",0.25,0.16519546,0.117137142,0.065411765,0.176616915,0.100339751,0.136709411,0.330185497,1.09
688201.SH,????????,4/21/2021,"78,041.30",0.2,-0.06713323,0.187968442,0.251318422,0.280622051,0.325081967,0.25524602,0.306902357,0.3149
605016.SH,????????,4/21/2021,"66,939.00",0.25,0.317223484,0.233709501,0.260884831,0.315447154,0.504239284,0.398914906,0.242260619,0.49
300975.SZ,????????,4/21/2021,"128,270.28",0.1,-0.435653003,-0.507507508,-0.432239658,-0.39897817,-0.540664962,-0.60042508,-0.682681564,0.3257
603733.SH,????????,4/21/2021,"1,412,950.00",0.78,0.055514706,0.071893064,0.061381074,0.027262401,0.020960366,0.149900728,0.35549423,0.86
603682.SH,????????,4/21/2021,"67,019.40",0.18,-0.061994609,-0.109859155,-0.1145686,-0.106741573,-0.145348837,-0.190332326,-0.28548124,0.14
300828.SZ,????????,4/21/2021,"66,148.11",0.25,-0.11678487,-0.146045609,-0.115203022,-0.149391727,-0.157843137,-0.081006865,-0.164120256,0.28
603986.SH,????????,4/22/2021,"2,987.25",0,0.128058436,0.116596802,0.040741781,-0.004058585,-0.401477833,-0.07439577,0.072484243,1.19
601609.SH,????????,4/22/2021,"340,165.17",0.24,-0.023529412,-0.030139935,0.005197505,0.013402062,-0.049342105,-0.106358382,-0.082579186,0.25
688788.SH,????????,4/22/2021,"8,249.09",0.01,-0.038821693,-0.059701493,-0.075540295,-0.067562149,0.14119829,0.227869209,0.208766716,2.4183
688639.SH,????????,4/22/2021,"83,559.25",0.22,0.183271548,0.193732845,0.17755483,0.17755483,0.329210276,0.290744467,0.399488927,0.69
688129.SH,????????,4/23/2021,"2,182.06",0.01,-0.049710983,-0.050925926,-0.052753623,-0.049104564,-0.054587689,0.040676175,0.080506329,0.36
600496.SH,????????,4/23/2021,"151,800.00",0.15,-0.131991051,-0.12195122,-0.155251142,-0.213429257,-0.196217494,-0.281012658,-0.237163814,0.1641
002545.SZ,????????,4/23/2021,"2,844.34",0,,-0.007112376,-0.032069971,-0.011428571,-0.001414427,0.059760956,0.242780749,0.1629
300680.SZ,????????,4/23/2021,"27,895.83",0.07,-0.060594059,-0.04609375,-0.073346693,-0.179735683,-0.126156434,-0.022918258,0.060680463,0.21
002483.SZ,????????,4/23/2021,"5,177.83",0.01,0.036190476,0.034351145,0.047080979,0.023166023,-0.054166667,0.019379845,0.003937008,0.217
300123.SZ,????????,4/23/2021,"75,798.16",0.08,-0.080586081,-0.136071887,-0.098014888,0.104251012,0.093237705,0.27990236,0.281655844,0.05
300278.SZ,*ST????,4/23/2021,"7,488.00",0.04,-0.138686131,-0.424657534,-0.380530973,-0.142857143,-0.399103139,-0.114285714,0.054545455,-0.2135
300192.SZ,????????,4/23/2021,"1,512.22",0,-0.08015873,-0.122011542,-0.11557377,-0.110114192,-0.154368109,-0.256694367,-0.426624738,0.1688
002628.SZ,????????,4/26/2021,"2,223.83",0.01,-0.002840909,-0.008571429,0.01396648,0.019444444,-0.014367816,-0.023188406,-0.044378698,0.08
300323.SZ,????????,4/26/2021,"228,369.56",0.19,-0.07545045,-0.036916395,-0.064659978,-0.073033708,-0.032432432,0.145031334,0.225466342,-0.02
